Keystone Mechanical Keyboard,Check out our most recent Email support@kono.store with any questions or concerns.We are getting PCBs sent to us to be checked by out engineers. This project is moving forward! Our team member in China visited the factory this week to ensure production moves smoothly.,,Kono Store
Kono Midnight Switches,"Production lead time was 5 weeks from close (July 30), with another month for transit. Estimated September 2021 arrival.",,Kono Store
Momoka FROG Switches,Order has been placed and production is underway! Estimated arrival is late September after transit.,,Kono Store
Stargaze Deskmats,These will be produced with our next batch of deskmats and are estimated to complete production September 2021.,,Kono Store
Sushi Deskmats,These completed production and are in transit to our warehouse. Will take around a month of transit and customs and will be in-stock late August/mid September.,,Kono Store
THOK Ramses Encoder Knob,The estimated production time was 8-16 weeks from close (mid May). Estimated Q3 2021.,,Kono Store
Titan65,Vendors and designers are organizing the production. Estimated production completion is Q4 2021.,,Kono Store
name,expected_ship_date,product_url,vendor
EO-87,"
",,Mekibo
Hidari,Q4 2021,,Mekibo
Monokei x TGR - Tomo 75%,Q2 2022,,Mekibo
TX-60/65/66/660C,,,Mekibo
ePBT x GOK Kuro/Shiro R3,Q1 '22,,Mekibo
ePBT Sniper,Q2 '22,,Mekibo
GA Triangles,Q3 '21,,Mekibo
GMK Apollo,Sep ‘21,,Mekibo
GMK Baltic,"
",,Mekibo
GMK Black Modi,May '21,,Mekibo
GMK Bleached,Feb '21,,Mekibo
GMK Classic Red,Oct '21,,Mekibo
GMK Cojiro,Q1 '22,,Mekibo
GMK Coral,,,Mekibo
GMK Demon Sword,Oct '21,,Mekibo
GMK Gregory,Q1 '22,,Mekibo
GMK Harvest,Q1 '23,,Mekibo
GMK Hazakura,Q3 '22,,Mekibo
GMK Kouhai,Q2 '22,,Mekibo
GMK Lux,Sep '21,,Mekibo
GMK Maestro,Q1 '22,,Mekibo
GMK Modern JaDesko,Q2 '22,,Mekibo
GMK Monarch,Q2 '22,,Mekibo
GMK Pâtisserie,Q3 '22,,Mekibo
GMK Oni,Q4 '21,,Mekibo
GMK Red Devils,Nov '21,,Mekibo
GMK Rouge,Sep '21,,Mekibo
GMK Sixes,Q4 '22,,Mekibo
GMK Stargaze,Q4 '22,,Mekibo
GMK Taegeukgi,Nov '21,,Mekibo
GMK Watermelon,Q2 '22,,Mekibo
GMK WoB Shinethrough,Apr '22,,Mekibo
JTK Azure,Oct '21,,Mekibo
KAT Comet,Jan '22,,Mekibo
KAT Iron,Sep '21,,Mekibo
KAT Monochrome,Nov '21,,Mekibo
KAT Refined,Dec '21,,Mekibo
MONOKEI x dogethink,Q4 '21,,Mekibo
SA BISO,Sep '21,,Mekibo
Gateron Inks - Baltic Edition,Jun '21,,Mekibo
Durock Linear Moss Switches,Jan '21,,Mekibo
3ildmat Deskmat,Oct '21,,Mekibo
Anti Deskmat Deskmat Club,Feb '21,,Mekibo
Access Deskmats,Q4 '21,,Mekibo
Celestial Deskmats,Aug '21,,Mekibo
Christmas Tea Deskmat,"
",,Mekibo
CYBERPNK Deskmats,May '21,,Mekibo
Deep Deskmats,Jul '21,,Mekibo
Desert Deskmats,,,Mekibo
Doggo Sushi Deskmats,"
",,Mekibo
Foliage Deskmats,Q4 '21,,Mekibo
Founders Deskmat,Jun '21,,Mekibo
GA Triangles Deskmat,Jul '21,,Mekibo
GMK Apollo Deskmat,May '20,,Mekibo
GMK Cojiro Deskmat,Jul '21,,Mekibo
GMK Harvest Deskmats,TBA,,Mekibo
GMK Hazakura Deskmat,Oct '21,,Mekibo
GMK Maestro Deskmat,Jul '21,,Mekibo
GMK Oni Deskmat,Dec '20,,Mekibo
GMK Red Devils Deskmat,Feb ‘21,,Mekibo
GMK Stargaze,TBA,,Mekibo
GMK Watermelon Deskmat,Aug '21,,Mekibo
JTZ Azure Deskmat,Jul '21,,Mekibo
KAT Iron Deskmat,Dec '20,,Mekibo
Kat4 Deskmats,Q4 '21,,Mekibo
Moss Deskmat,,,Mekibo
Neko-Tomo Deskmat,"
",,Mekibo
Senkai Deskmats,Jul '21,,Mekibo
To The Moon Deskmats,Aug '21,,Mekibo
Waves Deskmats,Sep '21,,Mekibo
ePBT BoW Hangul - Keicap,TBA,,Mekibo
GMK Apollo - RAMA,2020,,Mekibo
GMK Apollo - Salvun,2020,,Mekibo
GMK Classic Red - RAMA,Dec '20,,Mekibo
GMK Cojiro - RAMA,Jun '21,,Mekibo
GMK Demon Sword - RAMA,May '21,,Mekibo
GMK Harvest - RAMA,TBA,,Mekibo
GMK Harvest - Asero,TBA,,Mekibo
GMK Maestro - RAMA,Aug '21,,Mekibo
GMK Oni - RAMA,Jan '21,,Mekibo
GMK Red Devils - RAMA,Mar '21,,Mekibo
GMK Red Devils - Salvun,Aug '21,,Mekibo
GMK Taegeukgi - Salvun,Aug '21,,Mekibo
GMK Stargaze - RAMA,TBA,,Mekibo
GMK Watermelon - RAMA,Sep '21,,Mekibo
JTZ Azure - RAMA,Apr '21,,Mekibo
KAT Iron - Salvun,Aug '21,,Mekibo
KAT Monochrome - Salvun,Aug '21,,Mekibo
MONOKEI x CYSM,Q4 '21,,Mekibo
BISO Bags,,,Mekibo
Large TX Bags,,,Mekibo
name,expected_ship_date,product_url,vendor
GMK Classic Retro Zhuyin,Q2 2022,,Novelkeys
GMK Oblivion V3.1,Q2 2022,,Novelkeys
NK65™ - Oblivion V3.1 Edition,Q4 2021,,Novelkeys
Oblivion V3.1 Deskpad,Q4 2021,,Novelkeys
RAMA M6-C Oblivion Edition,Q4 2021,,Novelkeys
Aluvia Keycaps,Q4 2021,,Novelkeys
GMK Analog Dreams R2,Q2 2022,,Novelkeys
Analog Dreams Deskpads,Q4 2021,,Novelkeys
KAM Li'l Dragon,Q2 2022,,Novelkeys
Li'l Dragon Deskpads,Q4 2021,,Novelkeys
Li'l Dragon Accesories,Q4 2021,,Novelkeys
GMK Handarbeit R2 GB,Q2 2022,,Novelkeys
GMK Parcel,Q2 2022,,Novelkeys
Parcel Deskpads,Q4 2021,,Novelkeys
GMK Zooted,Q2 2022,,Novelkeys
wilba.tech Salvation Keyboard,Q4 2021,,Novelkeys
Nono The Duck Bundle,Q3 2021,,Novelkeys
Metropolis Deskpads,Q4 2021,,Novelkeys
GMK Metropolis R2,Q1 2022,,Novelkeys
Metropolis M6-C,Q3 2021,,Novelkeys
Sa Tatooine™,Q2 2022,,Novelkeys
NK87 Aluminum Edition Preorder,Q4 2021,,Novelkeys
GMK Striker,Q1 2022,,Novelkeys
Hexagon Blue Deskpads,Q3 2021,,Novelkeys
Colorchrome Deskpads,Q4 2021,,Novelkeys
GMK Colorchrome,Q1 2022,,Novelkeys
Superuser Deskpads,Q3 2021,,Novelkeys
NK65™ - Superuser Edition,Q4 2021,,Novelkeys
KAM Superuser,Q1 2022,,Novelkeys
GMK Dots R2,Q1 2022,,Novelkeys
Dots R2 Deskpad,Q3 2021,,Novelkeys
GMK Mr. Sleeves R2,Q1 2022,,Novelkeys
Box 75,Q1 2022,,Novelkeys
Recall Deskpad GB,Aug. 2021,,Novelkeys
SA Recall,Q1 2022,,Novelkeys
NK65™ - Awaken Edition,Q1 2022,,Novelkeys
Awaken Deskpads,Aug. 2021,,Novelkeys
GMK Awaken,Q1 2022,,Novelkeys
GMK Serika 2,Q1 2022,,Novelkeys
NK65™ Olivia Edition,Oct. 2021,,Novelkeys
GMK Yuri R2,Q1 2022,,Novelkeys
JTK Griseann / Royal Alphas,Q4 2021,,Novelkeys
GMK Honor,Q1 2022,,Novelkeys
GMK Mudbeam,Q1 2022,,Novelkeys
GMK Grand Prix,Q1 2022,,Novelkeys
GMK Space Cadet II,Q1 2022,,Novelkeys
SA Jadeite,Q4 2021,,Novelkeys
GMK Monokai Material,Q1 2022,,Novelkeys
GMK Sloth,Jan. 2022,,Novelkeys
Sloth Deskpad,Aug. 2021,,Novelkeys
GMK Bento,Dec. 2021,,Novelkeys
GMK Mecha-01,Nov. 2021,,Novelkeys
GMK Hammerhead,Nov. 2021,,Novelkeys
GMK Boneyard,Oct. 2021,,Novelkeys
KAM Ghost,Q3 2021,,Novelkeys
GMK Midnight Rainbow,Aug. 2021,,Novelkeys
JTK Zen,Q3 2021,,Novelkeys
Decent65 Keyboard,Q3 2021,,Novelkeys
HSA WoB,Q3 2021,,Novelkeys
name,expected_ship_date,product_url,vendor
GMK Botanical 2,Q3 2022,,Omnitype
GMK SYMBIOTE,Q3 2022,,Omnitype
GMK DUALSHOT 2,Q3 2022,,Omnitype
SA Ramses,Q3 2022,,Omnitype
GMK Blurple,Q3 2022,,Omnitype
GMK Norse,Q2 2022,,Omnitype
Meka Bag / Keyboard Bag Groupbuy,March/April 2021,,Omnitype
Brushworks Deskpads,August 2021,,Omnitype
GMK Tuzi,Q1 2022,,Omnitype
8008 Inks,February 2021,,Omnitype
SA DUALSHOT,August 2021,,Omnitype
Cyber Meka Mats,April/May 2021,,Omnitype
GMK 80082,January / February 2022,,Omnitype
GMK Dracula,the end of Sept 2021,,Omnitype
GMK Minimal 2,January 2022,,Omnitype
GMK Pono,December 2021/January 2022,,Omnitype
GMK ThinkCaps,November 2021,,Omnitype
Bauer 2,June/July 2021,,Omnitype
GMK Nuclear Data,November 2021,,Omnitype
GMK MoDo 2,November 2021,,Omnitype
GMK Redline,November 2021,,Omnitype
GMK REDACTED,December 2021,,Omnitype
GMK Nautilus 2,February 2021,,Omnitype
GMK Botanical,,,Omnitype
GMK MoDo Light,July/August 2021,,Omnitype
HSA Biege on Brown,June 2021,,Omnitype
GMK Terra,,,Omnitype
name,expected_ship_date,product_url,vendor
Blacklight Deskmat,May 2021,https://thekey.company/products/blacklight-deskmat,TKC
Cabernet Deskmat,Jun 2021,https://thekey.company/products/cabernet-deskmat,TKC
Comfy Deskmat,Jul 2021,https://thekey.company/products/comfy-deskmat,TKC
Controller Series Deskmat,Aug 2021,https://thekey.company/products/controller-series-deskmat,TKC
DSA Magic Girl Keycaps Round 2,Aug 2021,https://thekey.company/products/dsa-magic-girl-keycaps-round-2,TKC
DSA Nature Witch by Infinikey,Oct 2021,https://thekey.company/products/dsa-nature-witch-by-infinikey,TKC
GMK Black Lotus,Nov 2021,https://thekey.company/products/gmk-black-lotus,TKC
GMK Lunar,Nov 2021,https://thekey.company/products/gmk-lunar,TKC
Infinikey Blacklight Keycaps,May 2021,https://thekey.company/products/infinikey-blacklight-keycaps,TKC
Infinikey Cabernet Keycaps,Aug 2021,https://thekey.company/products/infinikey-cabernet-keycaps,TKC
Infinikey Comfy Keycaps,Sep 2021,https://thekey.company/products/infinikey-comfy-keycaps,TKC
Infinikey Dark Cyrillic Keycaps,Sep 2021,https://thekey.company/products/infinikey-dark-cyrillic-keycaps,TKC
Infinikey Marshmallow Keycaps,Oct 2021,https://thekey.company/products/infinikey-marshmallow-keycaps,TKC
Infinikey Morse Keycaps,Sep 2021,https://thekey.company/products/infinikey-morse-keycaps,TKC
Infinikey OG Keycaps,Nov 2021,https://thekey.company/products/infinikey-og-keycaps,TKC
Infinikey Team Liquid Keycaps,Sep 2021,https://thekey.company/products/infinikey-team-liquid-keycaps,TKC
Infinikey Vanir Keycaps,Sep 2021,https://thekey.company/products/infinikey-vanir-keycaps,TKC
JTK Night Sakura Keycaps,Sep 2021,https://thekey.company/products/jtk-night-sakura-keycaps,TKC
Lunar Deskmats,Jul 2021,https://thekey.company/products/lunar-deskmats,TKC
Lunar X Salvun Artisan Keycap,Jul 2021,https://thekey.company/products/lunar-x-salvun-artisan-keycap,TKC
M0LLY Polycarbonate Keyboard,Sep 2021,https://thekey.company/products/m0lly-polycarbonate-keyboard,TKC
Magic Girl Deskmats Round 2,Jul 2021,https://thekey.company/products/magic-girl-deskmats-round-2,TKC
Marshmallow Deskmat,Sep 2021,https://thekey.company/products/marshmallow-deskmat,TKC
Mech Mat,Sep 2021,https://thekey.company/products/mech-mat,TKC
Monochrome Series Deskmat,Sep 2021,https://thekey.company/products/monochrome-series-deskmat,TKC
Morse Deskmat,Sep 2021,https://thekey.company/products/morse-deskmat,TKC
Nature Witch Deskmat,Sep 2021,https://thekey.company/products/nature-witch-deskmat,TKC
Night Sakura Deskmat,Dec 2021,https://thekey.company/products/jtk-night-sakura-deskmat,TKC
Plant Arcana Deskmat,Sep 2021,https://thekey.company/products/plant-arcana-deskmat,TKC
Portico Keyboard: Magic Girl Edition,Jul 2021,https://thekey.company/products/portico-keyboard-magic-girl-edition,TKC
Samoyed Series Deskmat,Sep 2021,https://thekey.company/products/samoyed-series-deskmat,TKC
Synthwave Series Deskmat,Aug 2021,https://thekey.company/products/synthwave-series-deskmat,TKC
UYU Milk Series Deskmat,Jul 2021,https://thekey.company/products/uyu-milk-series-deskmat,TKC
Vanir Deskmat,Aug 2021,https://thekey.company/products/vanir-deskmat,TKC
name,expected_ship_date,product_url,vendor
TMT Story,Q1 2022.,,Vala Supply
KAT Overgrown,Q2 2022.,,Vala Supply
Deliciosa Deskmats,Q4 2021.,,Vala Supply
GMK Higanbana,Q4 2022.,,Vala Supply
DSA Berry Yogurt,Q4 2021.,,Vala Supply
GMK Shashin,Q3 2022.,,Vala Supply
KAT Great Wave,Q1 2022.,,Vala Supply
ePBT Dreamscape,Q1 2022.,,Vala Supply
ePBT Solaria,early Q2 2022.,,Vala Supply
ePBT Origami,early Q1 2022.,,Vala Supply
Merienda Deskmats,Q3 2021,,Vala Supply
K-Store Deskmats,August 2021.,,Vala Supply
JTK Sora,Q1 2022,,Vala Supply
Cloudscape Deskmats,﻿August 2021.,,Vala Supply
REDUX Deskmats,August 2021,,Vala Supply
Sushi Suitchi Deskmats,,,Vala Supply
GMK Avanguardia,Q4 2021,,Vala Supply
